token,label,start_char,end_char,context
Harry,PERSON,17,22,"""Don' you worry, Harry."
Hogwarts,PERSON,36,44,"Everyone starts at the beginning at Hogwarts, you'll be just fine."
Yeh've,GPE,0,6,"Yeh've been singled out, an' that's always hard."
Hogwarts,ORG,32,40,"But yeh'll have a great time at Hogwarts -- I did -- still do, 'smatter of fact."""
Hagrid,ORG,0,6,"Hagrid helped Harry on to the train that would take him back to the Dursleys, then handed him an envelope."
Harry,PERSON,14,19,"Hagrid helped Harry on to the train that would take him back to the Dursleys, then handed him an envelope."
Dursleys,PERSON,68,76,"Hagrid helped Harry on to the train that would take him back to the Dursleys, then handed him an envelope."
Hogwarts,PERSON,16,24,"""Yer ticket fer Hogwarts, "" he said."
September,DATE,10,19,"""First o' September -- King's Cross -- it's all on yer ticket."
Dursleys,PERSON,22,30,"Any problems with the Dursleys, send me a letter with yer owl, she'll know where to find me.... See yeh soon, Harry."""
Harry,PERSON,110,115,"Any problems with the Dursleys, send me a letter with yer owl, she'll know where to find me.... See yeh soon, Harry."""
Harry,PERSON,0,5,"Harry wanted to watch Hagrid until he was out of sight; he rose in his seat and pressed his nose against the window, but he blinked and Hagrid had gone."
Hagrid,PERSON,22,28,"Harry wanted to watch Hagrid until he was out of sight; he rose in his seat and pressed his nose against the window, but he blinked and Hagrid had gone."
Hagrid,PERSON,136,142,"Harry wanted to watch Hagrid until he was out of sight; he rose in his seat and pressed his nose against the window, but he blinked and Hagrid had gone."
CHAPTER,EVENT,0,7,CHAPTER SIX THE JOURNEY FROM PLATFORM NINE AND THREE-QUARTERS Harry's last month with the Dursleys wasn't fun.
SIX,CARDINAL,8,11,CHAPTER SIX THE JOURNEY FROM PLATFORM NINE AND THREE-QUARTERS Harry's last month with the Dursleys wasn't fun.
NINE,CARDINAL,38,42,CHAPTER SIX THE JOURNEY FROM PLATFORM NINE AND THREE-QUARTERS Harry's last month with the Dursleys wasn't fun.
last month,DATE,70,80,CHAPTER SIX THE JOURNEY FROM PLATFORM NINE AND THREE-QUARTERS Harry's last month with the Dursleys wasn't fun.
Dursleys,PERSON,90,98,CHAPTER SIX THE JOURNEY FROM PLATFORM NINE AND THREE-QUARTERS Harry's last month with the Dursleys wasn't fun.
Dudley,PERSON,6,12,"True, Dudley was now so scared of Harry he wouldn't stay in the same room, while Aunt Petunia and Uncle Vernon didn't shut Harry in his cupboard, force him to do anything, or shout at him -- in fact, they didn't speak to him at all."
Harry,PERSON,34,39,"True, Dudley was now so scared of Harry he wouldn't stay in the same room, while Aunt Petunia and Uncle Vernon didn't shut Harry in his cupboard, force him to do anything, or shout at him -- in fact, they didn't speak to him at all."
Aunt Petunia,PERSON,81,93,"True, Dudley was now so scared of Harry he wouldn't stay in the same room, while Aunt Petunia and Uncle Vernon didn't shut Harry in his cupboard, force him to do anything, or shout at him -- in fact, they didn't speak to him at all."
Uncle Vernon,PERSON,98,110,"True, Dudley was now so scared of Harry he wouldn't stay in the same room, while Aunt Petunia and Uncle Vernon didn't shut Harry in his cupboard, force him to do anything, or shout at him -- in fact, they didn't speak to him at all."
Harry,PERSON,123,128,"True, Dudley was now so scared of Harry he wouldn't stay in the same room, while Aunt Petunia and Uncle Vernon didn't shut Harry in his cupboard, force him to do anything, or shout at him -- in fact, they didn't speak to him at all."
Half,CARDINAL,0,4,"Half terrified, half furious, they acted as though any chair with Harry in it were empty."
half,CARDINAL,16,20,"Half terrified, half furious, they acted as though any chair with Harry in it were empty."
Harry,PERSON,66,71,"Half terrified, half furious, they acted as though any chair with Harry in it were empty."
Harry,PERSON,0,5,"Harry kept to his room, with his new owl for company."
Hedwig,PERSON,27,33,"He had decided to call her Hedwig, a name he had found in A History of Magic."
Magic,PRODUCT,71,76,"He had decided to call her Hedwig, a name he had found in A History of Magic."
the night,TIME,36,45,"He lay on his bed reading late into the night, Hedwig swooping in and out of the open window as she pleased."
Hedwig,PERSON,47,53,"He lay on his bed reading late into the night, Hedwig swooping in and out of the open window as she pleased."
Hedwig,PERSON,73,79,"It was lucky that Aunt Petunia didn't come in to vacuum anymore, because Hedwig kept bringing back dead mice."
Every night,TIME,0,11,"Every night before he went to sleep, Harry ticked off another day on the piece of paper he had pinned to the wall, counting down to September the first."
Harry,PERSON,37,42,"Every night before he went to sleep, Harry ticked off another day on the piece of paper he had pinned to the wall, counting down to September the first."
September the first,DATE,132,151,"Every night before he went to sleep, Harry ticked off another day on the piece of paper he had pinned to the wall, counting down to September the first."
the last day of August,DATE,3,25,"On the last day of August he thought he'd better speak to his aunt and uncle about getting to King's Cross station the next day, so he went down to the living room where they were watching a quiz show on television."
King's Cross,ORG,94,106,"On the last day of August he thought he'd better speak to his aunt and uncle about getting to King's Cross station the next day, so he went down to the living room where they were watching a quiz show on television."
the next day,DATE,115,127,"On the last day of August he thought he'd better speak to his aunt and uncle about getting to King's Cross station the next day, so he went down to the living room where they were watching a quiz show on television."
Dudley,PERSON,57,63,"He cleared his throat to let them know he was there, and Dudley screamed and ran from the room."
Uncle Vernon,PERSON,0,12,Uncle Vernon grunted to show he was listening.
King's Cross,ORG,23,35,"""Er -- I need to be at King's Cross tomorrow to -- to go to Hogwarts."""
Hogwarts,PERSON,60,68,"""Er -- I need to be at King's Cross tomorrow to -- to go to Hogwarts."""
Uncle Vernon,PERSON,0,12,Uncle Vernon grunted again.
Harry,PERSON,0,5,Harry supposed that meant yes.
Uncle Vernon,PERSON,38,50,He was about to go back upstairs when Uncle Vernon actually spoke.
Magic,PRODUCT,0,5,"Magic carpets all got punctures, have they?"""
Harry,PERSON,0,5,Harry didn't say anything.
Harry,PERSON,21,26,"""I don't know,"" said Harry, realizing this for the first time."
first,ORDINAL,51,56,"""I don't know,"" said Harry, realizing this for the first time."
Hagrid,PERSON,21,27,He pulled the ticket Hagrid had given him out of his pocket.
nine,CARDINAL,37,41,"""I just take the train from platform nine and three-quarters at eleven o'clock,"" he read."
three-quarters,CARDINAL,46,60,"""I just take the train from platform nine and three-quarters at eleven o'clock,"" he read."
eleven o'clock,TIME,64,78,"""I just take the train from platform nine and three-quarters at eleven o'clock,"" he read."
Nine,CARDINAL,1,5,"""Nine and three-quarters."""
three-quarters,DATE,10,24,"""Nine and three-quarters."""
Uncle Vernon,PERSON,27,39,"""Don't talk rubbish,"" said Uncle Vernon."
nine,CARDINAL,22,26,"""There is no platform nine and three-quarters."""
three-quarters,DATE,31,45,"""There is no platform nine and three-quarters."""
Uncle Vernon,PERSON,16,28,"""Barking,"" said Uncle Vernon, ""howling mad, the lot of them."
King's Cross,ORG,29,41,"All right, we'll take you to King's Cross."
London,GPE,18,24,"We're going up to London tomorrow anyway, or I wouldn't bother."""
tomorrow,DATE,25,33,"We're going up to London tomorrow anyway, or I wouldn't bother."""
London,GPE,22,28,"""Why are you going to London?"""
Harry,PERSON,0,5,"Harry asked, trying to keep things friendly."
Uncle Vernon,PERSON,41,53,"""Taking Dudley to the hospital,"" growled Uncle Vernon."
Smeltings,ORG,55,64,"""Got to have that ruddy tail removed before he goes to Smeltings."""
Harry,PERSON,0,5,Harry woke at five o'clock the next morning and was too excited and nervous to go back to sleep.
five o'clock,TIME,14,26,Harry woke at five o'clock the next morning and was too excited and nervous to go back to sleep.
Hogwarts,ORG,15,23,"He checked his Hogwarts list yet again to make sure he had everything he needed, saw that Hedwig was shut safely in her cage, and then paced the room, waiting for the Dursleys to get up."
Hedwig,PERSON,90,96,"He checked his Hogwarts list yet again to make sure he had everything he needed, saw that Hedwig was shut safely in her cage, and then paced the room, waiting for the Dursleys to get up."
Dursleys,PERSON,167,175,"He checked his Hogwarts list yet again to make sure he had everything he needed, saw that Hedwig was shut safely in her cage, and then paced the room, waiting for the Dursleys to get up."
Two hours later,TIME,0,15,"Two hours later, Harry's huge, heavy trunk had been loaded into the Dursleys' car, Aunt Petunia had talked Dudley into sitting next to Harry, and they had set off."
Harry,PERSON,17,22,"Two hours later, Harry's huge, heavy trunk had been loaded into the Dursleys' car, Aunt Petunia had talked Dudley into sitting next to Harry, and they had set off."
Dursleys,PERSON,68,76,"Two hours later, Harry's huge, heavy trunk had been loaded into the Dursleys' car, Aunt Petunia had talked Dudley into sitting next to Harry, and they had set off."
Aunt Petunia,PERSON,83,95,"Two hours later, Harry's huge, heavy trunk had been loaded into the Dursleys' car, Aunt Petunia had talked Dudley into sitting next to Harry, and they had set off."
Dudley,PERSON,107,113,"Two hours later, Harry's huge, heavy trunk had been loaded into the Dursleys' car, Aunt Petunia had talked Dudley into sitting next to Harry, and they had set off."
Harry,PERSON,135,140,"Two hours later, Harry's huge, heavy trunk had been loaded into the Dursleys' car, Aunt Petunia had talked Dudley into sitting next to Harry, and they had set off."
King's Cross,ORG,13,25,They reached King's Cross at half past ten.
half past ten,CARDINAL,29,42,They reached King's Cross at half past ten.
Vernon,PERSON,6,12,Uncle Vernon dumped Harry's trunk onto a cart and wheeled it into the station for him.
Harry,PERSON,20,25,Uncle Vernon dumped Harry's trunk onto a cart and wheeled it into the station for him.
Harry,PERSON,0,5,"Harry thought this was strangely kind until Uncle Vernon stopped dead, facing the platforms with a nasty grin on his face."
Uncle Vernon,GPE,44,56,"Harry thought this was strangely kind until Uncle Vernon stopped dead, facing the platforms with a nasty grin on his face."
nine,CARDINAL,9,13,Platform nine -- platform ten.
ten,CARDINAL,26,29,Platform nine -- platform ten.
nine,CARDINAL,31,35,"There was a big plastic number nine over one platform and a big plastic number ten over the one next to it, and in the middle, nothing at all."
ten,QUANTITY,79,82,"There was a big plastic number nine over one platform and a big plastic number ten over the one next to it, and in the middle, nothing at all."
Uncle Vernon,PERSON,25,37,"""Have a good term,"" said Uncle Vernon with an even nastier smile."
Harry,PERSON,0,5,Harry turned and saw the Dursleys drive away.
Dursleys,PERSON,25,33,Harry turned and saw the Dursleys drive away.
three,CARDINAL,4,9,All three of them were laughing.
Harry,PERSON,0,5,Harry's mouth went rather dry.
nine,CARDINAL,61,65,"He stopped a passing guard, but didn't dare mention platform nine and three-quarters."
three-quarters,DATE,70,84,"He stopped a passing guard, but didn't dare mention platform nine and three-quarters."
Hogwarts,PERSON,29,37,"The guard had never heard of Hogwarts and when Harry couldn't even tell him what part of the country it was in, he started to get annoyed, as though Harry was being stupid on purpose."
Harry,PERSON,47,52,"The guard had never heard of Hogwarts and when Harry couldn't even tell him what part of the country it was in, he started to get annoyed, as though Harry was being stupid on purpose."
Harry,PERSON,149,154,"The guard had never heard of Hogwarts and when Harry couldn't even tell him what part of the country it was in, he started to get annoyed, as though Harry was being stupid on purpose."
Harry,PERSON,19,24,"Getting desperate, Harry asked for the train that left at eleven o'clock, but the guard said there wasn't one."
eleven o'clock,TIME,58,72,"Getting desperate, Harry asked for the train that left at eleven o'clock, but the guard said there wasn't one."
Harry,PERSON,0,5,Harry was now trying hard not to panic.
ten minutes,TIME,61,72,"According to the large clock over the arrivals board, he had ten minutes left to get on the train to Hogwarts and he had no idea how to do it; he was stranded in the middle of a station with a trunk he could hardly lift, a pocket full of wizard money, and a large owl."
Hogwarts,PERSON,101,109,"According to the large clock over the arrivals board, he had ten minutes left to get on the train to Hogwarts and he had no idea how to do it; he was stranded in the middle of a station with a trunk he could hardly lift, a pocket full of wizard money, and a large owl."
Hagrid,ORG,0,6,"Hagrid must have forgotten to tell him something you had to do, like tapping the third brick on the left to get into Diagon Alley."
third,ORDINAL,81,86,"Hagrid must have forgotten to tell him something you had to do, like tapping the third brick on the left to get into Diagon Alley."
Diagon Alley,PERSON,117,129,"Hagrid must have forgotten to tell him something you had to do, like tapping the third brick on the left to get into Diagon Alley."
nine,CARDINAL,107,111,He wondered if he should get out his wand and start tapping the ticket inspector's stand between platforms nine and ten.
ten,CARDINAL,116,119,He wondered if he should get out his wand and start tapping the ticket inspector's stand between platforms nine and ten.
Harry,PERSON,38,43,"-- packed with Muggles, of course --"" Harry swung round."
four,CARDINAL,49,53,"The speaker was a plump woman who was talking to four boys, all with flaming red hair."
Harry,PERSON,38,43,Each of them was pushing a trunk like Harry's in front of him -- and they had an owl.
Harry,PERSON,17,22,"Heart hammering, Harry pushed his cart after them."
Nine,CARDINAL,1,5,"""Nine and three-quarters!"""
three-quarters,DATE,10,24,"""Nine and three-quarters!"""
Ginny,PERSON,109,114,"piped a small girl, also red-headed, who was holding her hand, ""Mom, can't I go... “ ""You're not old enough, Ginny, now be quiet."
Percy,PERSON,11,16,"All right, Percy, you go first."""
first,ORDINAL,25,30,"All right, Percy, you go first."""
nine,CARDINAL,57,61,What looked like the oldest boy marched toward platforms nine and ten.
ten,CARDINAL,66,69,What looked like the oldest boy marched toward platforms nine and ten.
Harry,PERSON,0,5,"Harry watched, careful not to blink in case he missed it -- but just as the boy reached the dividing barrier between the two platforms, a large crowd of tourists came swarming in front of him and by the time the last backpack had cleared away, the boy had vanished."
two,CARDINAL,121,124,"Harry watched, careful not to blink in case he missed it -- but just as the boy reached the dividing barrier between the two platforms, a large crowd of tourists came swarming in front of him and by the time the last backpack had cleared away, the boy had vanished."
Fred,PERSON,1,5,"""Fred, you next,"" the plump woman said."
Fred,PERSON,9,13,"""I'm not Fred, I'm George,"" said the boy."
George,PERSON,19,25,"""I'm not Fred, I'm George,"" said the boy."
CarA,PERSON,0,4,"CarA you tell I'm George?"""
George,PERSON,18,24,"CarA you tell I'm George?"""
George,PERSON,8,14,"""Sorry, George, dear."""
Fred,PERSON,19,23,"""Only joking, I am Fred,"" said the boy, and off he went."
a second later,DATE,73,87,"His twin called after him to hurry up, and he must have done so, because a second later, he had gone -- but how had he done it?"
third,ORDINAL,8,13,"Now the third brother was walking briskly toward the barrier he was almost there -- and then, quite suddenly, he wasn't anywhere."
Harry,PERSON,13,18,"""Excuse me,"" Harry said to the plump woman."
First,ORDINAL,1,6,"""First time at Hogwarts?"
Hogwarts,PERSON,15,23,"""First time at Hogwarts?"
Ron,PERSON,0,3,"Ron's new, too."""
Harry,PERSON,12,17,"""Yes,"" said Harry."
Harry,PERSON,21,26,"she said kindly, and Harry nodded."
nine,CARDINAL,70,74,"""All you have to do is walk straight at the barrier between platforms nine and ten."
ten,CARDINAL,79,82,"""All you have to do is walk straight at the barrier between platforms nine and ten."
Ron,PERSON,21,24,"Go on, go now before Ron."""
Harry,PERSON,19,24,"""Er -- okay,"" said Harry."
nine,CARDINAL,45,49,People jostled him on their way to platforms nine and ten.
ten,CARDINAL,54,57,People jostled him on their way to platforms nine and ten.
Harry,ORG,0,5,Harry walked more quickly.
Hogwarts Express,ORG,21,37,"A sign overhead said Hogwarts Express, eleven O'clock."
eleven O'clock,TIME,39,53,"A sign overhead said Hogwarts Express, eleven O'clock."
Harry,PERSON,0,5,"Harry looked behind him and saw a wrought-iron archway where the barrier had been, with the words Platform Nine and Three-Quarters on it, He had done it."
Nine,CARDINAL,107,111,"Harry looked behind him and saw a wrought-iron archway where the barrier had been, with the words Platform Nine and Three-Quarters on it, He had done it."
first,ORDINAL,4,9,"The first few carriages were already packed with students, some hanging out of the window to talk to their families, some fighting over seats."
Harry,PERSON,0,5,Harry pushed his cart off down the platform in search of an empty seat.
Gran,PERSON,45,49,"He passed a round-faced boy who was saying, ""Gran, I've lost my toad again."""
Neville,PERSON,5,12,"""Oh, Neville,"" he heard the old woman sigh."
Lee,PERSON,17,20,"""Give us a look, Lee, go on."""
Harry,PERSON,0,5,Harry pressed on through the crowd until he found an empty compartment near the end of the train.
Hedwig,PERSON,7,13,He put Hedwig inside first and then started to shove and heave his trunk toward the train door.
first,ORDINAL,21,26,He put Hedwig inside first and then started to shove and heave his trunk toward the train door.
one,CARDINAL,56,59,He tried to lift it up the steps but could hardly raise one end and twice he dropped it painfully on his foot.
Harry,PERSON,15,20,"""Yes, please,"" Harry panted."
Oy,PERSON,1,3,"""Oy, Fred!"
Fred,PERSON,5,9,"""Oy, Fred!"
C'mere,ORG,0,6,"C'mere and help!"""
Harry,PERSON,22,27,"With the twins' help, Harry's trunk was at last tucked away in a corner of the compartment."
Harry,PERSON,15,20,"""Thanks,"" said Harry, pushing his sweaty hair out of his eyes."
one,CARDINAL,5,8,"said one of the twins suddenly, pointing at Harry's lightning scar."
Harry,PERSON,44,49,"said one of the twins suddenly, pointing at Harry's lightning scar."
Blimey,NORP,1,7,"""Blimey,"" said the other twin."
first,ORDINAL,27,32,"""Are you ""He is,"" said the first twin."
Harry,PERSON,12,17,he added to Harry.
Harry,PERSON,5,10,said Harry.
Harry Potter,WORK_OF_ART,1,13,"""Harry Potter, ""chorused the twins."
Harry,PERSON,16,21,"""Oh, him,"" said Harry."
two,CARDINAL,4,7,"The two boys gawked at him, and Harry felt himself turning red."
Harry,PERSON,32,37,"The two boys gawked at him, and Harry felt himself turning red."
Fred,PERSON,1,5,"""Fred?"
George,PERSON,0,6,George?
Harry,PERSON,20,25,"With a last look at Harry, the twins hopped off the train."
Harry,PERSON,0,5,"Harry sat down next to the window where, half hidden, he could watch the red-haired family on the platform and hear what they were saying."
half,CARDINAL,41,45,"Harry sat down next to the window where, half hidden, he could watch the red-haired family on the platform and hear what they were saying."
Ron,PERSON,1,4,"""Ron, you've got something on your nose."""
Aaah,PERSON,1,5,"""Aaah, has ickle Ronnie got somefink on his nosie?"""
Ronnie,PERSON,17,23,"""Aaah, has ickle Ronnie got somefink on his nosie?"""
one,CARDINAL,5,8,said one of the twins.
Ron,PERSON,16,19,"""Shut up,"" said Ron."
Percy,PERSON,9,14,"""Where's Percy?"""
Hogwarts,PERSON,48,56,"He had already changed into his billowing black Hogwarts robes, and Harry noticed a shiny silver badge on his chest with the letter P on it."
Harry,PERSON,68,73,"He had already changed into his billowing black Hogwarts robes, and Harry noticed a shiny silver badge on his chest with the letter P on it."
two,CARDINAL,37,40,"""I'm up front, the prefects have got two compartments to themselves --"" ""Oh, are you a prefect, Percy?"""
Percy,PERSON,96,101,"""I'm up front, the prefects have got two compartments to themselves --"" ""Oh, are you a prefect, Percy?"""
one,CARDINAL,5,8,"said one of the twins, with an air of great surprise."
"""A minute --""",WORK_OF_ART,24,37,"""Once --"" ""Or twice --"" ""A minute --"" ""All summer --"" ""Oh, shut up,"" said Percy the Prefect."
Percy,PERSON,74,79,"""Once --"" ""Or twice --"" ""A minute --"" ""All summer --"" ""Oh, shut up,"" said Percy the Prefect."
Percy,PERSON,10,15,"""How come Percy gets new robes, anyway?"""
one,CARDINAL,5,8,said one of the twins.
Percy,PERSON,11,16,She kissed Percy on the cheek and he left.
this year,DATE,17,26,"""Now, you two -- this year, you behave yourselves."
one,CARDINAL,9,12,"If I get one more owl telling me you've -- you've blown up a toilet or --"" ""Blown up a toilet?"
Blown up a toilet,WORK_OF_ART,76,93,"If I get one more owl telling me you've -- you've blown up a toilet or --"" ""Blown up a toilet?"
Ron,PERSON,15,18,"And look after Ron."""
Ronniekins,PERSON,20,30,"""Don't worry, ickle Ronniekins is safe with us."""
Ron,PERSON,16,19,"""Shut up,"" said Ron again."
Harry,PERSON,0,5,Harry leaned back quickly so they couldn't see him looking.
Harry Potter,WORK_OF_ART,1,13,"""Harry Potter!"""
Harry,PERSON,0,5,Harry heard the little girl's voice.
Ginny,PERSON,91,96,"""Oh, Mom, can I go on the train and see him, Mom, eh please...."" ""You've already seen him, Ginny, and the poor boy isn't something you goggle at in a zoo."
Fred,PERSON,14,18,"Is he really, Fred?"
Fred,PERSON,26,30,"""I forbid you to ask him, Fred."
his first day,DATE,40,53,"As though he needs reminding of that on his first day at school."""
Hurry,WORK_OF_ART,1,6,"""Hurry up!"""
three,CARDINAL,27,32,"their mother said, and the three boys clambered onto the train."
Ginny,PERSON,8,13,"""Don't, Ginny, we'll send you loads of owls."""
Hogwarts,PERSON,18,26,"""We'll send you a Hogwarts toilet seat."""
Harry,PERSON,0,5,"Harry saw the boys' mother waving and their sister, half laughing, half crying, running to keep up with the train until it gathered too much speed, then she fell back and waved."
half,CARDINAL,52,56,"Harry saw the boys' mother waving and their sister, half laughing, half crying, running to keep up with the train until it gathered too much speed, then she fell back and waved."
half,CARDINAL,67,71,"Harry saw the boys' mother waving and their sister, half laughing, half crying, running to keep up with the train until it gathered too much speed, then she fell back and waved."
Harry,PERSON,0,5,Harry watched the girl and her mother disappear as the train rounded the corner.
Houses,ORG,0,6,Houses flashed past the window.
Harry,PERSON,0,5,Harry felt a great leap of excitement.
Harry,ORG,40,45,"he asked, pointing at the seat opposite Harry."
Harry,PERSON,0,5,Harry shook his head and the boy sat down.
Harry,PERSON,14,19,"He glanced at Harry and then looked quickly out of the window, pretending he hadn't looked."
Harry,PERSON,0,5,Harry saw he still had a black mark on his nose.
Ron,PERSON,6,9,"""Hey, Ron."""
Lee Jordan's,PERSON,53,65,"""Listen, we're going down the middle of the train -- Lee Jordan's got a giant tarantula down there."""
Ron,PERSON,17,20,"""Right,"" mumbled Ron."
Harry,PERSON,1,6,"""Harry,"" said the other twin, ""did we introduce ourselves?"
Fred,PERSON,0,4,Fred and George Weasley.
George Weasley,PERSON,9,23,Fred and George Weasley.
Ron,PERSON,12,15,"And this is Ron, our brother."
Harry,PERSON,12,17,"""Bye,"" said Harry and Ron."
Ron,PERSON,22,25,"""Bye,"" said Harry and Ron."
Harry Potter,PERSON,16,28,"""Are you really Harry Potter?"""
Ron,PERSON,0,3,Ron blurted out.
Harry,PERSON,0,5,Harry nodded.
Fred,PERSON,40,44,"""Oh -well, I thought it might be one of Fred and George's jokes,"" said Ron."
George,PERSON,49,55,"""Oh -well, I thought it might be one of Fred and George's jokes,"" said Ron."
Ron,PERSON,71,74,"""Oh -well, I thought it might be one of Fred and George's jokes,"" said Ron."
Harry,PERSON,55,60,"""And have you really got -- you know..."" He pointed at Harry's forehead."
Harry,PERSON,0,5,Harry pulled back his bangs to show the lightning scar.
Ron,PERSON,0,3,Ron stared.
Harry,PERSON,42,47,"""So that's where You-Know-Who ""Yes,"" said Harry, ""but I can't remember it."""
Ron,PERSON,5,8,said Ron eagerly.
Ron,PERSON,12,15,"""Wow,"" said Ron."
Harry,PERSON,21,26,"He sat and stared at Harry for a few moments, then, as though he had suddenly realized what he was doing, he looked quickly out of the window again."
Harry,PERSON,6,11,"asked Harry, who found Ron just as interesting as Ron found him."
Ron,PERSON,23,26,"asked Harry, who found Ron just as interesting as Ron found him."
Ron,PERSON,50,53,"asked Harry, who found Ron just as interesting as Ron found him."
Ron,PERSON,30,33,"""Er -- Yes, I think so,"" said Ron."
second,ORDINAL,21,27,"""I think Mom's got a second cousin who's an accountant, but we never talk about him."""
Weasleys,PERSON,4,12,The Weasleys were clearly one of those old wizarding families the pale boy in Diagon Alley had talked about.
Diagon Alley,PERSON,78,90,The Weasleys were clearly one of those old wizarding families the pale boy in Diagon Alley had talked about.
Ron,PERSON,46,49,"""I heard you went to live with Muggles,"" said Ron."
three,CARDINAL,13,18,"Wish I'd had three wizard brothers."""
Five,CARDINAL,1,5,"""Five,"" said Ron."
Ron,PERSON,13,16,"""Five,"" said Ron."
sixth,ORDINAL,9,14,"""I'm the sixth in our family to go to Hogwarts."
Hogwarts,PERSON,38,46,"""I'm the sixth in our family to go to Hogwarts."
Bill,PERSON,0,4,Bill and Charlie have already left -- Bill was head boy and Charlie was captain of Quidditch.
Charlie,PERSON,9,16,Bill and Charlie have already left -- Bill was head boy and Charlie was captain of Quidditch.
Bill,PERSON,38,42,Bill and Charlie have already left -- Bill was head boy and Charlie was captain of Quidditch.
Charlie,PERSON,60,67,Bill and Charlie have already left -- Bill was head boy and Charlie was captain of Quidditch.
Quidditch,PERSON,83,92,Bill and Charlie have already left -- Bill was head boy and Charlie was captain of Quidditch.
Percy,PERSON,4,9,Now Percy's a prefect.
Fred,PERSON,0,4,"Fred and George mess around a lot, but they still get really good marks and everyone thinks they're really funny."
George,PERSON,9,15,"Fred and George mess around a lot, but they still get really good marks and everyone thinks they're really funny."
first,ORDINAL,100,105,"Everyone expects me to do as well as the others, but if I do, it's no big deal, because they did it first."
five,CARDINAL,41,45,"You never get anything new, either, with five brothers."
Bill,PERSON,9,13,"I've got Bill's old robes, Charlie's old wand, and Percy's old rat."""
Charlie,PERSON,27,34,"I've got Bill's old robes, Charlie's old wand, and Percy's old rat."""
Percy,PERSON,51,56,"I've got Bill's old robes, Charlie's old wand, and Percy's old rat."""
Ron,PERSON,0,3,"Ron reached inside his jacket and pulled out a fat gray rat, which was asleep."
Scabbers,ORG,12,20,"""His name's Scabbers and he's useless, he hardly ever wakes up."
Percy,PERSON,0,5,"Percy got an owl from my dad for being made a prefect, but they couldn't aff -- I mean, I got Scabbers instead."""
Scabbers,ORG,94,102,"Percy got an owl from my dad for being made a prefect, but they couldn't aff -- I mean, I got Scabbers instead."""
Ron,PERSON,0,3,Ron's ears went pink.
Harry,PERSON,0,5,Harry didn't think there was anything wrong with not being able to afford an owl.
a month ago,DATE,54,65,"After all, he'd never had any money in his life until a month ago, and he told Ron so, all about having to wear Dudley's old clothes and never getting proper birthday presents."
Ron,PERSON,79,82,"After all, he'd never had any money in his life until a month ago, and he told Ron so, all about having to wear Dudley's old clothes and never getting proper birthday presents."
Dudley,PERSON,112,118,"After all, he'd never had any money in his life until a month ago, and he told Ron so, all about having to wear Dudley's old clothes and never getting proper birthday presents."
Ron,PERSON,21,24,This seemed to cheer Ron up.
Hagrid,PERSON,15,21,"""... and until Hagrid told me, I didn't know anything about be ing a wizard or about my parents or Voldemort"" Ron gasped."
Voldemort,PERSON,99,108,"""... and until Hagrid told me, I didn't know anything about be ing a wizard or about my parents or Voldemort"" Ron gasped."
Ron,PERSON,110,113,"""... and until Hagrid told me, I didn't know anything about be ing a wizard or about my parents or Voldemort"" Ron gasped."
Harry,PERSON,5,10,said Harry.
Ron,PERSON,5,8,"said Ron, sounding both shocked and impressed."
Harry,PERSON,105,110,"""I'd have thought you, of all people --"" ""I'm not trying to be brave or anything, saying the name,"" said Harry, I just never knew you shouldn't."
first,ORDINAL,34,39,"I bet,"" he added, voicing for the first time something that had been worrying him a lot lately, ""I bet I'm the worst in the class."""
Muggle,PERSON,38,44,"There's loads of people who come from Muggle families and they learn quick enough."""
London,GPE,63,69,"While they had been talking, the train had carried them out of London."
Around half past twelve,CARDINAL,0,23,"Around half past twelve there was a great clattering outside in the corridor and a smiling, dimpled woman slid back their door and said, ""Anything off the cart, dears?"""
Harry,PERSON,0,5,"Harry, who hadn't had any breakfast, leapt to his feet, but Ron's ears went pink again and he muttered that he'd brought sandwiches."
Ron,PERSON,60,63,"Harry, who hadn't had any breakfast, leapt to his feet, but Ron's ears went pink again and he muttered that he'd brought sandwiches."
Harry,PERSON,0,5,Harry went out into the corridor.
Dursleys,PERSON,46,54,"He had never had any money for candy with the Dursleys, and now that he had pockets rattling with gold and silver he was ready to buy as many Mars Bars as he could carry -- but the woman didn't have Mars Bars."
as many Mars Bars,CARDINAL,134,151,"He had never had any money for candy with the Dursleys, and now that he had pockets rattling with gold and silver he was ready to buy as many Mars Bars as he could carry -- but the woman didn't have Mars Bars."
Mars Bars,LOC,199,208,"He had never had any money for candy with the Dursleys, and now that he had pockets rattling with gold and silver he was ready to buy as many Mars Bars as he could carry -- but the woman didn't have Mars Bars."
Bettie Bott's,PERSON,23,36,"What she did have were Bettie Bott's Every Flavor Beans, Drooble's Best Blowing Gum, Chocolate Frogs."
Every Flavor Beans,ORG,37,55,"What she did have were Bettie Bott's Every Flavor Beans, Drooble's Best Blowing Gum, Chocolate Frogs."
Drooble,ORG,57,64,"What she did have were Bettie Bott's Every Flavor Beans, Drooble's Best Blowing Gum, Chocolate Frogs."
Chocolate Frogs,ORG,85,100,"What she did have were Bettie Bott's Every Flavor Beans, Drooble's Best Blowing Gum, Chocolate Frogs."
Pumpkin Pasties,ORG,0,15,"Pumpkin Pasties, Cauldron Cakes, Licorice Wands, and a number of other strange things Harry had never seen in his life."
